so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio|date|day_night
lt91_dla|210050|232500|232000|0|0|1|0.159|0|0.5|20171205|1
lt91_dli|210050|232500|232000|1.9|1.6|1|0.159|0|0.5|20171205|1
lt91_dlj|210050|232500|232000|2.1|1.6|1|0.159|0|0.5|20171205|1
lt91_dljm|210050|232500|232000|2.3|1.9|1|0.159|0|0.5|20171205|1
lt91_dlm|210050|232500|232000|0|0|1|0.1192|0|0.5|20171205|1
lt91_dlp|210050|232500|232000|0|0|1|0.1986|0|0.5|20171205|1
lt91_dly|210050|232500|232000|0|0|1|0.1986|0|0.5|20171205|1
lt91_shag|210000|232500|232000|2.1|1.7|1|0|0.0000415|0.3|20171205|1
lt91_shau|210000|232500|232000|0|0|1|0.00415|0|0.3|20171205|1
lt91_shbu|210000|225500|225000|1.7|1|1|0|0.00008295|0.3|20171205|1
lt91_shcu|210000|232500|232000|0|0|1|0|0.00002074|0.3|20171205|1
lt91_shni|210000|232500|232000|1.6|1.2|1|4.977|0|0.3|20171205|1
lt91_shrb|210000|225500|225000|1.4|1|1|0|0.00008295|0.3|20171205|1
lt91_shru|210000|225500|225000|1.3|1|1|0|0.00003733|0.3|20171205|1
lt91_shal|210000|232500|232000|0|0|1|0|0.00003733|0.3|20171205|1
lt91_shhc|210000|225500|225000|1.7|1|1|0|0.00008295|0.3|20171205|1
lt91_shpb|210000|232500|232000|0|0|1|4.977|0|0.3|20171205|1
lt91_shzn|210000|232500|232000|1.7|1|1|0.2489|0|0.3|20171205|1
lt91_zzcf|210000|232500|232000|0|0|1|0|0|0.6|20171205|1
lt91_zzfg|210000|232500|232000|0|0|1|0|0|0.6|20171205|1
lt91_zzma|210000|232500|232000|0|0|1|0|0|0.6|20171205|1
lt91_zzoi|210000|232500|232000|1.7|1.5|1|0|0|0.6|20171205|1
lt91_zzrm|210000|232500|232000|1.6|1.2|1|0|0|0.6|20171205|1
lt91_zzsr|210000|232500|232000|1.6|1|1|0|0|0.6|20171205|1
lt91_zzta|210000|232500|232000|1.7|1|1|0|0|0.6|20171205|1
lt91_zzzc|210000|232500|232000|1.3|1|1|0|0|0.6|20171205|1
